,ped_number,PED_Name,Dimension,File,DimensionID,Value,GNR
11845,1,Calgary-Acadia,"University certificate, diploma or degree at bachelor level or above",2,1822,"9,510.00",3.9%
11846,1,Calgary-Acadia,Bachelor's degree,2,1823,"7,015.00",3.9%
11847,1,Calgary-Acadia,University certificate or diploma above bachelor level,2,1824,510.00,3.9%
11848,1,Calgary-Acadia,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,205.00,3.9%
11849,1,Calgary-Acadia,Master's degree,2,1826,"1,605.00",3.9%
20006,2,Calgary-Beddington,"No certificate, diploma or degree",2,1814,"2,985.00",2.8%
20007,2,Calgary-Beddington,Secondary (high) school diploma or equivalency certificate,2,1815,"7,685.00",2.8%
20008,2,Calgary-Beddington,"Postsecondary certificate, diploma or degree",2,1816,"18,280.00",2.8%
20009,2,Calgary-Beddington,Apprenticeship or trades certificate or diploma,2,1817,"2,570.00",2.8%
20010,2,Calgary-Beddington,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,880.00,2.8%
20011,2,Calgary-Beddington,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,700.00",2.8%
20012,2,Calgary-Beddington,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,705.00",2.8%
20013,2,Calgary-Beddington,University certificate or diploma below bachelor level,2,1821,"1,020.00",2.8%
20014,2,Calgary-Beddington,"University certificate, diploma or degree at bachelor level or above",2,1822,"7,990.00",2.8%
20015,2,Calgary-Beddington,Bachelor's degree,2,1823,"5,910.00",2.8%
20016,2,Calgary-Beddington,University certificate or diploma above bachelor level,2,1824,440.00,2.8%
20017,2,Calgary-Beddington,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,155.00,2.8%
20018,2,Calgary-Beddington,Master's degree,2,1826,"1,320.00",2.8%
28175,3,Calgary-Bow,"No certificate, diploma or degree",2,1814,"1,730.00",3.5%
28176,3,Calgary-Bow,Secondary (high) school diploma or equivalency certificate,2,1815,"5,190.00",3.5%
28177,3,Calgary-Bow,"Postsecondary certificate, diploma or degree",2,1816,"22,325.00",3.5%
28178,3,Calgary-Bow,Apprenticeship or trades certificate or diploma,2,1817,"1,840.00",3.5%
28179,3,Calgary-Bow,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,595.00,3.5%
28180,3,Calgary-Bow,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,245.00",3.5%
28181,3,Calgary-Bow,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,590.00",3.5%
28182,3,Calgary-Bow,University certificate or diploma below bachelor level,2,1821,"1,135.00",3.5%
28183,3,Calgary-Bow,"University certificate, diploma or degree at bachelor level or above",2,1822,"13,760.00",3.5%
28184,3,Calgary-Bow,Bachelor's degree,2,1823,"9,205.00",3.5%
28185,3,Calgary-Bow,University certificate or diploma above bachelor level,2,1824,715.00,3.5%
28186,3,Calgary-Bow,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,410.00,3.5%
28187,3,Calgary-Bow,Master's degree,2,1826,"2,905.00",3.5%
36344,4,Calgary-Buffalo,"No certificate, diploma or degree",2,1814,"1,655.00",8.5%
36345,4,Calgary-Buffalo,Secondary (high) school diploma or equivalency certificate,2,1815,"5,580.00",8.5%
36346,4,Calgary-Buffalo,"Postsecondary certificate, diploma or degree",2,1816,"28,115.00",8.5%
36347,4,Calgary-Buffalo,Apprenticeship or trades certificate or diploma,2,1817,"1,565.00",8.5%
36348,4,Calgary-Buffalo,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,645.00,8.5%
36349,4,Calgary-Buffalo,Certificate of Apprenticeship or Certificate of Qualification,2,1819,925.00,8.5%
36350,4,Calgary-Buffalo,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,385.00",8.5%
36351,4,Calgary-Buffalo,University certificate or diploma below bachelor level,2,1821,"1,140.00",8.5%
36352,4,Calgary-Buffalo,"University certificate, diploma or degree at bachelor level or above",2,1822,"20,020.00",8.5%
36353,4,Calgary-Buffalo,Bachelor's degree,2,1823,"13,640.00",8.5%
36354,4,Calgary-Buffalo,University certificate or diploma above bachelor level,2,1824,945.00,8.5%
36355,4,Calgary-Buffalo,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,540.00,8.5%
36356,4,Calgary-Buffalo,Master's degree,2,1826,"4,370.00",8.5%
44513,5,Calgary-Cross,"No certificate, diploma or degree",2,1814,"5,810.00",3.4%
44514,5,Calgary-Cross,Secondary (high) school diploma or equivalency certificate,2,1815,"8,910.00",3.4%
44515,5,Calgary-Cross,"Postsecondary certificate, diploma or degree",2,1816,"13,450.00",3.4%
44516,5,Calgary-Cross,Apprenticeship or trades certificate or diploma,2,1817,"2,345.00",3.4%
44517,5,Calgary-Cross,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,"1,090.00",3.4%
44518,5,Calgary-Cross,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,250.00",3.4%
44519,5,Calgary-Cross,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,105.00",3.4%
44520,5,Calgary-Cross,University certificate or diploma below bachelor level,2,1821,935.00,3.4%
44521,5,Calgary-Cross,"University certificate, diploma or degree at bachelor level or above",2,1822,"5,065.00",3.4%
44522,5,Calgary-Cross,Bachelor's degree,2,1823,"3,850.00",3.4%
44523,5,Calgary-Cross,University certificate or diploma above bachelor level,2,1824,270.00,3.4%
44524,5,Calgary-Cross,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,100.00,3.4%
44525,5,Calgary-Cross,Master's degree,2,1826,795.00,3.4%
52682,6,Calgary-Currie,"No certificate, diploma or degree",2,1814,"1,950.00",4.6%
52683,6,Calgary-Currie,Secondary (high) school diploma or equivalency certificate,2,1815,"6,525.00",4.6%
52684,6,Calgary-Currie,"Postsecondary certificate, diploma or degree",2,1816,"22,840.00",4.6%
52685,6,Calgary-Currie,Apprenticeship or trades certificate or diploma,2,1817,"2,015.00",4.6%
52686,6,Calgary-Currie,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,650.00,4.6%
52687,6,Calgary-Currie,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,370.00",4.6%
52688,6,Calgary-Currie,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,625.00",4.6%
52689,6,Calgary-Currie,University certificate or diploma below bachelor level,2,1821,"1,100.00",4.6%
52690,6,Calgary-Currie,"University certificate, diploma or degree at bachelor level or above",2,1822,"14,095.00",4.6%
52691,6,Calgary-Currie,Bachelor's degree,2,1823,"10,115.00",4.6%
52692,6,Calgary-Currie,University certificate or diploma above bachelor level,2,1824,700.00,4.6%
52693,6,Calgary-Currie,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,310.00,4.6%
52694,6,Calgary-Currie,Master's degree,2,1826,"2,595.00",4.6%
60851,7,Calgary-East,"No certificate, diploma or degree",2,1814,"7,115.00",4.5%
60852,7,Calgary-East,Secondary (high) school diploma or equivalency certificate,2,1815,"9,620.00",4.5%
60853,7,Calgary-East,"Postsecondary certificate, diploma or degree",2,1816,"12,685.00",4.5%
60854,7,Calgary-East,Apprenticeship or trades certificate or diploma,2,1817,"3,040.00",4.5%
60855,7,Calgary-East,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,"1,150.00",4.5%
60856,7,Calgary-East,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,890.00",4.5%
60857,7,Calgary-East,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,080.00",4.5%
60858,7,Calgary-East,University certificate or diploma below bachelor level,2,1821,925.00,4.5%
60859,7,Calgary-East,"University certificate, diploma or degree at bachelor level or above",2,1822,"3,640.00",4.5%
60860,7,Calgary-East,Bachelor's degree,2,1823,"2,880.00",4.5%
60861,7,Calgary-East,University certificate or diploma above bachelor level,2,1824,265.00,4.5%
60862,7,Calgary-East,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,70.00,4.5%
60863,7,Calgary-East,Master's degree,2,1826,390.00,4.5%
69020,8,Calgary-Edgemont,"No certificate, diploma or degree",2,1814,"1,335.00",2.4%
69021,8,Calgary-Edgemont,Secondary (high) school diploma or equivalency certificate,2,1815,"4,550.00",2.4%
69022,8,Calgary-Edgemont,"Postsecondary certificate, diploma or degree",2,1816,"21,965.00",2.4%
69023,8,Calgary-Edgemont,Apprenticeship or trades certificate or diploma,2,1817,"1,345.00",2.4%
69024,8,Calgary-Edgemont,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,450.00,2.4%
69025,8,Calgary-Edgemont,Certificate of Apprenticeship or Certificate of Qualification,2,1819,900.00,2.4%
69026,8,Calgary-Edgemont,"College, CEGEP or other non-university certificate or diploma",2,1820,"4,985.00",2.4%
69027,8,Calgary-Edgemont,University certificate or diploma below bachelor level,2,1821,"1,060.00",2.4%
69028,8,Calgary-Edgemont,"University certificate, diploma or degree at bachelor level or above",2,1822,"14,575.00",2.4%
69029,8,Calgary-Edgemont,Bachelor's degree,2,1823,"9,535.00",2.4%
69030,8,Calgary-Edgemont,University certificate or diploma above bachelor level,2,1824,635.00,2.4%
69031,8,Calgary-Edgemont,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,470.00,2.4%
69032,8,Calgary-Edgemont,Master's degree,2,1826,"3,175.00",2.4%
77189,9,Calgary-Elbow,"No certificate, diploma or degree",2,1814,"1,195.00",4.6%
77190,9,Calgary-Elbow,Secondary (high) school diploma or equivalency certificate,2,1815,"5,040.00",4.6%
77191,9,Calgary-Elbow,"Postsecondary certificate, diploma or degree",2,1816,"23,505.00",4.6%
77192,9,Calgary-Elbow,Apprenticeship or trades certificate or diploma,2,1817,"1,395.00",4.6%
77193,9,Calgary-Elbow,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,575.00,4.6%
77194,9,Calgary-Elbow,Certificate of Apprenticeship or Certificate of Qualification,2,1819,820.00,4.6%
77195,9,Calgary-Elbow,"College, CEGEP or other non-university certificate or diploma",2,1820,"4,425.00",4.6%
77196,9,Calgary-Elbow,University certificate or diploma below bachelor level,2,1821,905.00,4.6%
77197,9,Calgary-Elbow,"University certificate, diploma or degree at bachelor level or above",2,1822,"16,775.00",4.6%
77198,9,Calgary-Elbow,Bachelor's degree,2,1823,"11,150.00",4.6%
77199,9,Calgary-Elbow,University certificate or diploma above bachelor level,2,1824,825.00,4.6%
77200,9,Calgary-Elbow,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,675.00,4.6%
77201,9,Calgary-Elbow,Master's degree,2,1826,"3,600.00",4.6%
85358,10,Calgary-Falconridge,"No certificate, diploma or degree",2,1814,"5,420.00",3.2%
85359,10,Calgary-Falconridge,Secondary (high) school diploma or equivalency certificate,2,1815,"8,950.00",3.2%
85360,10,Calgary-Falconridge,"Postsecondary certificate, diploma or degree",2,1816,"14,890.00",3.2%
85361,10,Calgary-Falconridge,Apprenticeship or trades certificate or diploma,2,1817,"2,135.00",3.2%
85362,10,Calgary-Falconridge,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,925.00,3.2%
85363,10,Calgary-Falconridge,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,215.00",3.2%
85364,10,Calgary-Falconridge,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,065.00",3.2%
85365,10,Calgary-Falconridge,University certificate or diploma below bachelor level,2,1821,880.00,3.2%
85366,10,Calgary-Falconridge,"University certificate, diploma or degree at bachelor level or above",2,1822,"6,810.00",3.2%
85367,10,Calgary-Falconridge,Bachelor's degree,2,1823,"4,580.00",3.2%
85368,10,Calgary-Falconridge,University certificate or diploma above bachelor level,2,1824,390.00,3.2%
85369,10,Calgary-Falconridge,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,190.00,3.2%
85370,10,Calgary-Falconridge,Master's degree,2,1826,"1,535.00",3.2%
93527,11,Calgary-Fish Creek,"No certificate, diploma or degree",2,1814,"1,755.00",3.6%
93528,11,Calgary-Fish Creek,Secondary (high) school diploma or equivalency certificate,2,1815,"6,445.00",3.6%
93529,11,Calgary-Fish Creek,"Postsecondary certificate, diploma or degree",2,1816,"17,885.00",3.6%
93530,11,Calgary-Fish Creek,Apprenticeship or trades certificate or diploma,2,1817,"2,385.00",3.6%
93531,11,Calgary-Fish Creek,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,710.00,3.6%
93532,11,Calgary-Fish Creek,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,675.00",3.6%
93533,11,Calgary-Fish Creek,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,365.00",3.6%
93534,11,Calgary-Fish Creek,University certificate or diploma below bachelor level,2,1821,810.00,3.6%
93535,11,Calgary-Fish Creek,"University certificate, diploma or degree at bachelor level or above",2,1822,"8,325.00",3.6%
93536,11,Calgary-Fish Creek,Bachelor's degree,2,1823,"6,125.00",3.6%
93537,11,Calgary-Fish Creek,University certificate or diploma above bachelor level,2,1824,425.00,3.6%
93538,11,Calgary-Fish Creek,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,175.00,3.6%
93539,11,Calgary-Fish Creek,Master's degree,2,1826,"1,420.00",3.6%
101696,12,Calgary-Foothills,"No certificate, diploma or degree",2,1814,"1,095.00",3.1%
101697,12,Calgary-Foothills,Secondary (high) school diploma or equivalency certificate,2,1815,"4,645.00",3.1%
101698,12,Calgary-Foothills,"Postsecondary certificate, diploma or degree",2,1816,"20,645.00",3.1%
101699,12,Calgary-Foothills,Apprenticeship or trades certificate or diploma,2,1817,"1,715.00",3.1%
101700,12,Calgary-Foothills,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,520.00,3.1%
101701,12,Calgary-Foothills,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,190.00",3.1%
101702,12,Calgary-Foothills,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,625.00",3.1%
101703,12,Calgary-Foothills,University certificate or diploma below bachelor level,2,1821,955.00,3.1%
101704,12,Calgary-Foothills,"University certificate, diploma or degree at bachelor level or above",2,1822,"12,350.00",3.1%
101705,12,Calgary-Foothills,Bachelor's degree,2,1823,"8,245.00",3.1%
101706,12,Calgary-Foothills,University certificate or diploma above bachelor level,2,1824,650.00,3.1%
101707,12,Calgary-Foothills,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,275.00,3.1%
101708,12,Calgary-Foothills,Master's degree,2,1826,"2,640.00",3.1%
109865,13,Calgary-Glenmore,"No certificate, diploma or degree",2,1814,"1,295.00",3.7%
109866,13,Calgary-Glenmore,Secondary (high) school diploma or equivalency certificate,2,1815,"5,590.00",3.7%
109867,13,Calgary-Glenmore,"Postsecondary certificate, diploma or degree",2,1816,"19,525.00",3.7%
109868,13,Calgary-Glenmore,Apprenticeship or trades certificate or diploma,2,1817,"2,000.00",3.7%
109869,13,Calgary-Glenmore,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,670.00,3.7%
109870,13,Calgary-Glenmore,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,330.00",3.7%
109871,13,Calgary-Glenmore,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,740.00",3.7%
109872,13,Calgary-Glenmore,University certificate or diploma below bachelor level,2,1821,"1,020.00",3.7%
109873,13,Calgary-Glenmore,"University certificate, diploma or degree at bachelor level or above",2,1822,"10,765.00",3.7%
109874,13,Calgary-Glenmore,Bachelor's degree,2,1823,"7,575.00",3.7%
109875,13,Calgary-Glenmore,University certificate or diploma above bachelor level,2,1824,600.00,3.7%
109876,13,Calgary-Glenmore,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,325.00,3.7%
109877,13,Calgary-Glenmore,Master's degree,2,1826,"2,015.00",3.7%
118034,14,Calgary-Hays,"No certificate, diploma or degree",2,1814,"1,805.00",2.8%
118035,14,Calgary-Hays,Secondary (high) school diploma or equivalency certificate,2,1815,"7,190.00",2.8%
118036,14,Calgary-Hays,"Postsecondary certificate, diploma or degree",2,1816,"21,580.00",2.8%
118037,14,Calgary-Hays,Apprenticeship or trades certificate or diploma,2,1817,"2,825.00",2.8%
118038,14,Calgary-Hays,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,780.00,2.8%
118039,14,Calgary-Hays,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"2,040.00",2.8%
118040,14,Calgary-Hays,"College, CEGEP or other non-university certificate or diploma",2,1820,"7,560.00",2.8%
118041,14,Calgary-Hays,University certificate or diploma below bachelor level,2,1821,"1,105.00",2.8%
118042,14,Calgary-Hays,"University certificate, diploma or degree at bachelor level or above",2,1822,"10,090.00",2.8%
118043,14,Calgary-Hays,Bachelor's degree,2,1823,"7,690.00",2.8%
118044,14,Calgary-Hays,University certificate or diploma above bachelor level,2,1824,555.00,2.8%
118045,14,Calgary-Hays,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,135.00,2.8%
118046,14,Calgary-Hays,Master's degree,2,1826,"1,615.00",2.8%
126203,15,Calgary-Klein,"No certificate, diploma or degree",2,1814,"3,380.00",4.6%
126204,15,Calgary-Klein,Secondary (high) school diploma or equivalency certificate,2,1815,"7,870.00",4.6%
126205,15,Calgary-Klein,"Postsecondary certificate, diploma or degree",2,1816,"19,095.00",4.6%
126206,15,Calgary-Klein,Apprenticeship or trades certificate or diploma,2,1817,"2,655.00",4.6%
126207,15,Calgary-Klein,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,975.00,4.6%
126208,15,Calgary-Klein,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,685.00",4.6%
126209,15,Calgary-Klein,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,340.00",4.6%
126210,15,Calgary-Klein,University certificate or diploma below bachelor level,2,1821,"1,000.00",4.6%
126211,15,Calgary-Klein,"University certificate, diploma or degree at bachelor level or above",2,1822,"9,095.00",4.6%
126212,15,Calgary-Klein,Bachelor's degree,2,1823,"6,585.00",4.6%
126213,15,Calgary-Klein,University certificate or diploma above bachelor level,2,1824,505.00,4.6%
126214,15,Calgary-Klein,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,160.00,4.6%
126215,15,Calgary-Klein,Master's degree,2,1826,"1,655.00",4.6%
134372,16,Calgary-Lougheed,"No certificate, diploma or degree",2,1814,"1,300.00",2.8%
134373,16,Calgary-Lougheed,Secondary (high) school diploma or equivalency certificate,2,1815,"5,130.00",2.8%
134374,16,Calgary-Lougheed,"Postsecondary certificate, diploma or degree",2,1816,"18,090.00",2.8%
134375,16,Calgary-Lougheed,Apprenticeship or trades certificate or diploma,2,1817,"1,640.00",2.8%
134376,16,Calgary-Lougheed,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,595.00,2.8%
134377,16,Calgary-Lougheed,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,040.00",2.8%
134378,16,Calgary-Lougheed,"College, CEGEP or other non-university certificate or diploma",2,1820,"4,995.00",2.8%
134379,16,Calgary-Lougheed,University certificate or diploma below bachelor level,2,1821,"1,150.00",2.8%
134380,16,Calgary-Lougheed,"University certificate, diploma or degree at bachelor level or above",2,1822,"10,305.00",2.8%
134381,16,Calgary-Lougheed,Bachelor's degree,2,1823,"7,095.00",2.8%
134382,16,Calgary-Lougheed,University certificate or diploma above bachelor level,2,1824,715.00,2.8%
134383,16,Calgary-Lougheed,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,245.00,2.8%
134384,16,Calgary-Lougheed,Master's degree,2,1826,"2,070.00",2.8%
142541,17,Calgary-McCall,"No certificate, diploma or degree",2,1814,"4,220.00",2.6%
142542,17,Calgary-McCall,Secondary (high) school diploma or equivalency certificate,2,1815,"7,720.00",2.6%
142543,17,Calgary-McCall,"Postsecondary certificate, diploma or degree",2,1816,"14,900.00",2.6%
142544,17,Calgary-McCall,Apprenticeship or trades certificate or diploma,2,1817,"1,430.00",2.6%
142545,17,Calgary-McCall,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,705.00,2.6%
142546,17,Calgary-McCall,Certificate of Apprenticeship or Certificate of Qualification,2,1819,720.00,2.6%
142547,17,Calgary-McCall,"College, CEGEP or other non-university certificate or diploma",2,1820,"3,800.00",2.6%
142548,17,Calgary-McCall,University certificate or diploma below bachelor level,2,1821,940.00,2.6%
142549,17,Calgary-McCall,"University certificate, diploma or degree at bachelor level or above",2,1822,"8,735.00",2.6%
142550,17,Calgary-McCall,Bachelor's degree,2,1823,"5,725.00",2.6%
142551,17,Calgary-McCall,University certificate or diploma above bachelor level,2,1824,385.00,2.6%
142552,17,Calgary-McCall,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,170.00,2.6%
142553,17,Calgary-McCall,Master's degree,2,1826,"2,315.00",2.6%
150710,18,Calgary-Mountain View,"No certificate, diploma or degree",2,1814,"1,450.00",5.6%
150711,18,Calgary-Mountain View,Secondary (high) school diploma or equivalency certificate,2,1815,"4,895.00",5.6%
150712,18,Calgary-Mountain View,"Postsecondary certificate, diploma or degree",2,1816,"25,330.00",5.6%
150713,18,Calgary-Mountain View,Apprenticeship or trades certificate or diploma,2,1817,"1,560.00",5.6%
150714,18,Calgary-Mountain View,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,605.00,5.6%
150715,18,Calgary-Mountain View,Certificate of Apprenticeship or Certificate of Qualification,2,1819,950.00,5.6%
150716,18,Calgary-Mountain View,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,425.00",5.6%
150717,18,Calgary-Mountain View,University certificate or diploma below bachelor level,2,1821,915.00,5.6%
150718,18,Calgary-Mountain View,"University certificate, diploma or degree at bachelor level or above",2,1822,"17,425.00",5.6%
150719,18,Calgary-Mountain View,Bachelor's degree,2,1823,"11,620.00",5.6%
150720,18,Calgary-Mountain View,University certificate or diploma above bachelor level,2,1824,805.00,5.6%
150721,18,Calgary-Mountain View,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,475.00,5.6%
150722,18,Calgary-Mountain View,Master's degree,2,1826,"3,715.00",5.6%
158879,19,Calgary-North,"No certificate, diploma or degree",2,1814,"1,480.00",2.9%
158880,19,Calgary-North,Secondary (high) school diploma or equivalency certificate,2,1815,"4,455.00",2.9%
158881,19,Calgary-North,"Postsecondary certificate, diploma or degree",2,1816,"16,345.00",2.9%
158882,19,Calgary-North,Apprenticeship or trades certificate or diploma,2,1817,"1,285.00",2.9%
158883,19,Calgary-North,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,425.00,2.9%
158884,19,Calgary-North,Certificate of Apprenticeship or Certificate of Qualification,2,1819,860.00,2.9%
158885,19,Calgary-North,"College, CEGEP or other non-university certificate or diploma",2,1820,"4,560.00",2.9%
158886,19,Calgary-North,University certificate or diploma below bachelor level,2,1821,925.00,2.9%
158887,19,Calgary-North,"University certificate, diploma or degree at bachelor level or above",2,1822,"9,575.00",2.9%
158888,19,Calgary-North,Bachelor's degree,2,1823,"6,850.00",2.9%
158889,19,Calgary-North,University certificate or diploma above bachelor level,2,1824,430.00,2.9%
158890,19,Calgary-North,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,270.00,2.9%
158891,19,Calgary-North,Master's degree,2,1826,"1,810.00",2.9%
167048,20,Calgary-North East,"No certificate, diploma or degree",2,1814,"2,150.00",2.9%
167049,20,Calgary-North East,Secondary (high) school diploma or equivalency certificate,2,1815,"5,785.00",2.9%
167050,20,Calgary-North East,"Postsecondary certificate, diploma or degree",2,1816,"15,695.00",2.9%
167051,20,Calgary-North East,Apprenticeship or trades certificate or diploma,2,1817,"1,895.00",2.9%
167052,20,Calgary-North East,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,710.00,2.9%
167053,20,Calgary-North East,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,190.00",2.9%
167054,20,Calgary-North East,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,285.00",2.9%
167055,20,Calgary-North East,University certificate or diploma below bachelor level,2,1821,765.00,2.9%
167056,20,Calgary-North East,"University certificate, diploma or degree at bachelor level or above",2,1822,"7,745.00",2.9%
167057,20,Calgary-North East,Bachelor's degree,2,1823,"5,590.00",2.9%
167058,20,Calgary-North East,University certificate or diploma above bachelor level,2,1824,355.00,2.9%
167059,20,Calgary-North East,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,175.00,2.9%
167060,20,Calgary-North East,Master's degree,2,1826,"1,480.00",2.9%
175217,21,Calgary-North West,"No certificate, diploma or degree",2,1814,700.00,2.9%
175218,21,Calgary-North West,Secondary (high) school diploma or equivalency certificate,2,1815,"4,295.00",2.9%
175219,21,Calgary-North West,"Postsecondary certificate, diploma or degree",2,1816,"22,205.00",2.9%
175220,21,Calgary-North West,Apprenticeship or trades certificate or diploma,2,1817,"1,290.00",2.9%
175221,21,Calgary-North West,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,480.00,2.9%
175222,21,Calgary-North West,Certificate of Apprenticeship or Certificate of Qualification,2,1819,810.00,2.9%
175223,21,Calgary-North West,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,595.00",2.9%
175224,21,Calgary-North West,University certificate or diploma below bachelor level,2,1821,945.00,2.9%
175225,21,Calgary-North West,"University certificate, diploma or degree at bachelor level or above",2,1822,"14,375.00",2.9%
175226,21,Calgary-North West,Bachelor's degree,2,1823,"9,700.00",2.9%
175227,21,Calgary-North West,University certificate or diploma above bachelor level,2,1824,715.00,2.9%
