ED,ED Name,"Number
of Polls",LIB,NDP,AP,SC,CP-A,EPA,PC,SPA,WAP,IND,"Voter
Turnout
(%)"
49,BANFF-COCHRANE,75,"2,234","1,059",0,0,0,0,"6,632",0,"5,933",,55.8
50,BARRHEAD-MORINVILLE-WESTLOCK,82,931,983,0,0,0,188,"7,447",0,"7,103",,61
51,BATTLE RIVER-WAINWRIGHT,82,469,776,265,0,0,0,"7,202",0,"6,709",,60
52,BONNYVILLE-COLD LAKE,63,535,330,0,0,0,0,"4,816",0,"4,128",,44.6
53,CARDSTON-TABER-WARNER,63,341,482,0,0,0,0,"4,269",0,"6,116",,45.3
54,CHESTERMERE-ROCKY VIEW,77,564,536,0,0,0,0,"6,154",0,"10,165",,55.2
55,CYPRESS-MEDICINE HAT,82,770,637,0,0,0,0,"4,738",0,"7,098",,50.9
56,DRAYTON VALLEY-DEVON,89,544,878,0,0,0,0,"7,359",0,"5,467",,55.6
57,DRUMHELLER-STETTLER,87,362,408,281,0,0,0,"6,587",0,"7,452",,61.1
58,FORT MCMURRAY-CONKLIN,39,157,419,0,0,0,0,"2,588",0,"2,123",,36.2
59,FORT MCMURRAY-WOOD BUFFALO,52,222,372,0,0,0,0,"3,609",0,"3,164",,34
60,FORT SASKATCHEWAN-VEGREVILLE,89,843,"1,553",0,0,0,229,"8,370",0,"5,803",180,57.7
61,GRANDE PRAIRIE-SMOKY,90,583,757,0,0,0,0,"5,458",0,"4,912",209,42.5
62,GRANDE PRAIRIE-WAPITI,92,365,"1,209",0,0,0,0,"6,712",0,"4,509",204,42.4
63,HIGHWOOD,79,547,392,0,0,0,0,"8,159",0,"10,094",,58.9
64,INNISFAIL-SYLVAN LAKE,72,642,715,747,0,0,0,"6,140",0,"7,084",,54.7
65,LAC LA BICHE-ST. PAUL-TWO HILLS,63,704,712,0,0,0,0,"5,413",0,"5,959",,59.2
66,LACOMBE-PONOKA,69,753,"1,479",781,0,0,0,"5,363",0,"6,573",,56.7
67,LEDUC-BEAUMONT,77,727,"1,391",453,0,0,199,"8,420",0,"5,228",,52.4
68,LETHBRIDGE-EAST,86,"2,364","2,007",0,0,0,0,"6,599",0,"5,146",,51
69,LETHBRIDGE-WEST,83,881,"4,746",177,0,0,0,"5,810",0,"4,235",,54.7
70,LITTLE BOW,66,474,767,0,0,0,0,"4,502",0,"6,750",,53.2
71,LIVINGSTONE-MACLEOD,80,597,944,0,0,0,346,"7,385",0,"8,577",,60.5
72,MEDICINE HAT,82,"1,095","1,168",0,0,0,214,"5,342",0,"6,034",,48.1
73,OLDS-DIDSBURY-THREE HILLS,78,555,565,0,0,0,0,"6,707",0,"10,182",,61
74,PEACE RIVER,64,509,730,0,0,0,0,"4,339",0,"2,213",,40.2
75,RED DEER-NORTH,83,"2,332",973,249,0,0,0,"5,130",0,"4,567",,45.2
76,RED DEER-SOUTH,80,"1,195","1,707",604,0,0,0,"7,048",0,"5,612",,49.7
77,RIMBEY-ROCKY MOUNTAIN HOUSE-SUNDRE,78,420,776,0,0,0,0,"6,044",0,"7,664",,53.7
78,SHERWOOD PARK,82,"1,837","1,210",230,137,0,0,"8,747",0,"5,948","1,064",62.6
79,SPRUCE GROVE-ST. ALBERT,85,"1,757","1,779",0,0,0,0,"10,812",0,"5,354",,56.4
80,ST. ALBERT,93,"2,016","1,674","1,197",0,0,0,"10,476",0,"4,131",,60
81,STONY PLAIN,78,"1,128","1,324",217,0,0,149,"7,490",0,"6,254",,54.9
82,STRATHCONA-SHERWOOD PARK,80,"1,365","1,626",0,0,0,0,"9,695",0,"6,432",,59.7
83,STRATHMORE-BROOKS,84,299,409,0,0,0,0,"5,743",68,"8,157",,52.6
84,VERMILION-LLOYDMINSTER,75,463,415,0,0,0,0,"6,255",0,"4,509",399,51.8
85,WEST YELLOWHEAD,65,307,797,"1,668",0,0,0,"4,393",0,"2,688",,47.4
86,WETASKIWIN-CAMROSE,76,501,"1,586",0,0,0,191,"7,486",0,"4,562",,51.1
87,WHITECOURT-STE. ANNE,73,744,757,0,0,0,0,"6,371",0,"6,003",,54.2
